10/30 10:16:11.170  [0x00a50060]  SMemAlloc()           u:\projects\storm\h\storm.h (2246)
10/30 10:16:11.220  [0x00f70064]  SMemAlloc()           D:\diablo97\UISRC\ui\local.cpp (29)
10/30 10:16:11.220  [0x00f70064]  SMemFree()            D:\diablo97\UISRC\ui\local.cpp (43)
10/30 10:16:13.640  [0x014a0fe8]  SMemAlloc()           D:\diablo97\dx.cpp (76)
10/30 10:16:13.640  [0x00f7005c]  SMemAlloc()           D:\diablo97\ENGINE.CPP (2129)
10/30 10:16:13.640  [0x01520050]  SMemAlloc()           SDRAW.CPP (56)
10/30 10:16:13.690  [0x01520050]  SMemFree()            SDRAW.CPP (62)
10/30 10:16:13.860  [0x0156004c]  SMemAlloc()           SVID.CPP (111)
10/30 10:16:13.860  [0x0152004c]  SMemAlloc()           SVID.CPP (562)
10/30 10:16:13.860  [0x01570050]  SMemAlloc()           .?AUSTREAM@@ (-2)
10/30 10:16:13.860  [0x01580050]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.860  [0x01580078]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.860  [0x015800a0]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.860  [0x015800c8]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.860  [0x015800f0]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.860  [0x01580118]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.860  [0x01590050]  SMemAlloc()           SCODE.CPP (835)
10/30 10:16:13.860  [0x015a0050]  SMemAlloc()           SCODE.CPP (837)
10/30 10:16:13.860  [0x01580050]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.860  [0x01580078]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.860  [0x015800f0]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.860  [0x015800a0]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.860  [0x015800c8]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.860  [0x01580118]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.860  [0x015b0050]  SMemAlloc()           SCODE.CPP (1004)
10/30 10:16:13.860  [0x01580050]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.860  [0x01580078]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.860  [0x015800a0]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.860  [0x015800c8]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.860  [0x015800f0]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.860  [0x01580118]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.860  [0x01580050]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.860  [0x01580078]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.860  [0x015800f0]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.860  [0x015800a0]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.860  [0x015800c8]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.860  [0x01580118]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.860  [0x015c0050]  SMemAlloc()           SCODE.CPP (1041)
10/30 10:16:13.860  [0x015705b0]  SMemAlloc()           .?AUSTREAM@@ (-2)
10/30 10:16:13.860  [0x01580050]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.860  [0x01580050]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.860  [0x015b0078]  SMemAlloc()           SCODE.CPP (1004)
10/30 10:16:13.910  [0x01580050]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.910  [0x01580078]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.910  [0x015800a0]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.910  [0x015800c8]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.910  [0x015800f0]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.910  [0x01580118]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.910  [0x01580050]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.910  [0x01580078]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.910  [0x015800f0]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.910  [0x015800a0]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.910  [0x015800c8]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.910  [0x01580118]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.910  [0x015c16e0]  SMemAlloc()           SCODE.CPP (1041)
10/30 10:16:13.910  [0x01570b10]  SMemAlloc()           .?AUSTREAM@@ (-2)
10/30 10:16:13.910  [0x01580050]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.910  [0x01580050]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.910  [0x015b0090]  SMemAlloc()           SCODE.CPP (1004)
10/30 10:16:13.910  [0x01580050]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.910  [0x01580078]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.910  [0x015800a0]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.910  [0x015800c8]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.910  [0x015800f0]  SMemAlloc()           .?AUINST@@ (-2)
10/30 10:16:13.910  [0x01580050]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.910  [0x015800c8]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.910  [0x01580078]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.910  [0x015800a0]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.910  [0x015800f0]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:13.910  [0x015c2870]  SMemAlloc()           SCODE.CPP (1041)
10/30 10:16:13.910  [0x01580058]  SMemAlloc()           D:\diablo97\init.cpp (447)
10/30 10:16:13.910  [0x00f7007c]  SMemAlloc()           D:\diablo97\ENGINE.CPP (2129)
10/30 10:16:13.970  [0x01580058]  SMemFree()            D:\diablo97\init.cpp (467)
10/30 10:16:13.970  [0x015d0050]  SMemAlloc()           SFILE.CPP (2032)
10/30 10:16:15.120  [0x01580054]  SMemAlloc()           .?AUARCHIVEREC@@ (-2)
10/30 10:16:15.120  [0x015e0050]  SMemAlloc()           SFILE.CPP (2079)
10/30 10:16:15.120  [0x015f0050]  SMemAlloc()           SFILE.CPP (2103)
10/30 10:16:15.180  [0x01611000]  SMemAlloc()           SFILE.CPP (2106)
10/30 10:16:15.730  [0x01630050]  SMemAlloc()           SFILE.CPP (2117)
10/30 10:16:15.780  [0x01760050]  SMemAlloc()           SFILE.CPP (2273)
10/30 10:16:15.780  [0x01770054]  SMemAlloc()           .?AUFILEREC@@ (-2)
10/30 10:16:15.780  [0x01780050]  SMemAlloc()           SFILE.CPP (2283)
10/30 10:16:15.780  [0x01760050]  SMemFree()            SFILE.CPP (1409)
10/30 10:16:15.780  [0x01780050]  SMemFree()            SFILE.CPP (1413)
10/30 10:16:15.780  [0x01770054]  SMemFree()            u:\projects\storm\h\storm.h (906)
10/30 10:16:15.840  [0x015801a4]  SMemAlloc()           .?AUARCHIVEREC@@ (-2)
10/30 10:16:15.840  [0x015e0080]  SMemAlloc()           SFILE.CPP (2079)
